Código da Anilha,Número da Anilha,Espécies,Código da Idade,Código do Sexo,Data,Diâmetro do Tarso,Observações,location,bandSize
N,27422,Patagioenas plumbea,A,U,04/07/2023,,,BOA,N
N,27424,Rupornis magnirostris,A,U,15/10/2023,,,BOA,N
