Código da Anilha,Número da Anilha,Espécies,Código da Idade,Código do Sexo,Data,Diâmetro do Tarso,Observações,location,bandSize
G,148417,Anabazenops fuscus,J,U,03/10/2020,,,LIA,G
G,148418,Habia rubica,J,F,04/10/2020,,,LIA,G
G,148419,Turdus albicollis,A,M,05/10/2020,,,LIA,G
G,148420,Furnarius rufus,J,U,08/10/2020,,,LIA,G
G,148421,Ramphocelus bresilius,J,U,08/10/2020,,,LIA,G
G,148422,Gnorimopsar chopi,J,U,08/10/2020,,,LIA,G
G,148423,Gnorimopsar chopi,J,U,08/10/2020,,,LIA,G
G,148424,Pyriglena leucoptera,A,F,09/10/2020,,,LIA,G
G,148425,Turdus albicollis,A,M,09/10/2020,,,LIA,G
