Código da Anilha,Número da Anilha,Espécies,Código da Idade,Código do Sexo,Data,Diâmetro do Tarso,Observações,location,bandSize
M,35410,Baryphthengus ruficapillus,J,U,03/10/2020,,,LIA,M
M,35411,Geotrygon montana,A,F,07/10/2020,,,LIA,M
