Código da Anilha,Número da Anilha,Espécies,Código da Idade,Código do Sexo,Data,Diâmetro do Tarso,Observações,location,bandSize
C,103231,Ilicura militaris,J,F,23/07/2020,,,POR,C
C,103232,Sittasomus griseicapillus,J,U,24/07/2020,,,POR,C
