Código da Anilha,Número da Anilha,Espécies,Código da Idade,Código do Sexo,Data,Diâmetro do Tarso,Observações,location,bandSize
F,50126,Pyriglena leucoptera,J,M,23/07/2020,,,POR,F
F,50127,Pyriglena leucoptera,J,F,24/07/2020,,,POR,F
