Código da Anilha,Número da Anilha,Espécies,Código da Idade,Código do Sexo,Data,Diâmetro do Tarso,Observações,location,bandSize
J,66375,Geotrygon montana,J,F,24/05/2023,,,BOA,J
J,66376,Leptotila verreauxi,J,U,09/06/2023,,,BOA,J
J,66377,Geotrygon montana,J,U,04/09/2023,,,BOA,J
J,66378,Geotrygon montana,A,M,06/12/2023,,,BOA,J
J,66379,Geotrygon montana,A,F,11/02/2024,,,BOA,J
