Código da Anilha,Número da Anilha,Espécies,Código da Idade,Código do Sexo,Data,Diâmetro do Tarso,Observações,location,bandSize
H,93947,Turdus leucomelas,A,U,29/08/2023,,,IAM,H
H,93948,Turdus albicollis,J,U,30/08/2023,,,IAM,H
H,93949,Turdus rufiventris,J,M,30/08/2023,,,IAM,H
H,93950,Turdus rufiventris,A,U,30/08/2023,,,IAM,H
H,93945,Turdus rufiventris,J,U,29/08/2023,,,IAM,H
H,143431,Turdus albicollis,A,U,31/08/2023,,,IAM,H
H,143413,Turdus rufiventris,J,M,31/08/2023,,,IAM,H
H,143413,Turdus albicollis,A,U,31/08/2023,,,IAM,H
