Código da Anilha,Número da Anilha,Espécies,Código da Idade,Código do Sexo,Data,Diâmetro do Tarso,Observações,location,bandSize
D,175826,Xiphorhynchus fuscus,J,U,03/10/2020,,,LIA,D
D,175825,Dysithamnus mentalis,A,M,03/10/2020,,,LIA,D
D,175824,Leptopogon amaurocephalus,J,M,03/10/2020,,,LIA,D
D,175823,Rhopias gularis,A,M,04/10/2020,,,LIA,D
D,175822,Mionectes rufiventris,J,U,04/10/2020,,,LIA,D
D,175821,Mionectes rufiventris,J,F,04/10/2020,,,LIA,D
D,175820,Hylophilus poicilotis,A,U,05/10/2020,,,LIA,D
D,175819,Dysithamnus mentalis,A,M,05/10/2020,,,LIA,D
D,175818,Dysithamnus mentalis,A,U,07/10/2020,,,LIA,D
