Buteo platypterus
Buteo brachyurus
Buteo swainsoni
Buteo albonotatus
Morphnus guianensis
Harpia harpyja
Spizaetus tyrannus
Spizaetus melanoleucus
Spizaetus ornatus
FALCONIFORMES 
Falconidae 
Daptrius ater
Ibycter americanus
Caracara cheriway
Caracara plancus
Milvago chimachima
Milvago chimango
Herpetotheres cachinnans
Micrastur ruficollis
Micrastur gilvicollis
Micrastur mintoni
Micrastur mirandollei
Micrastur semitorquatus
Micrastur buckleyi
Spiziapteryx circumcincta
Falco tinnunculus
Falco sparverius
Falco columbarius
Falco rufigularis
Falco deiroleucus
Falco femoralis
Falco peregrinus
EURYPYGIFORMES 
Eurypygidae 
Eurypyga helias
GRUIFORMES 
Aramidae 
Aramus guarauna
Psophiidae 
Psophia crepitans
Psophia leucoptera
Psophia viridis
Psophia dextralis
Psophia obscura
Rallidae 
Coturnicops notatus
Micropygia schomburgkii
Rallus longirostris
Aramides ypecaha
Aramides mangle
Aramides cajanea
Aramides calopterus
Aramides saracura
Amaurolimnas concolor
Anurolimnas castaneiceps
Laterallus viridis
Laterallus fasciatus
Laterallus melanophaius
Laterallus exilis
Laterallus jamaicensis
Laterallus leucopyrrhus
Laterallus xenopterus
Porzana flaviventer
Porzana spiloptera
Porzana albicollis
Neocrex erythrops
Pardirallus maculatus
Pardirallus nigricans
Pardirallus sanguinolentus
Gallinula galeata
Gallinula angulata
Gallinula melanops
Porphyrio martinica
Porphyrio flavirostris
Fulica armillata
Fulica rufifrons
Fulica leucoptera
Heliornithidae 
Heliornis fulica
CARIAMIFORMES 
Cariamidae 
Cariama cristata
CHARADRIIFORMES 
Charadriidae 
Vanellus cayanus
Vanellus chilensis
Pluvialis dominica
Pluvialis squatarola
Charadrius semipalmatus
Charadrius melodus
Charadrius wilsonia
Charadrius collaris
Charadrius falklandicus
Charadrius modestus
Oreopholus ruficollis
Haematopodidae 
Haematopus palliatus
Recurvirostridae 
Himantopus mexicanus
Himantopus melanurus
Burhinidae 
Burhinus bistriatus
Chionidae 
Chionis albus
Scolopacidae 
Gallinago paraguaiae
Gallinago undulata
Limnodromus griseus
Limosa haemastica
Limosa lapponica
Limosa fedoa
Numenius borealis
Numenius phaeopus
Bartramia longicauda
Xenus cinereus
Actitis macularius
Tringa solitaria
