"captureId","station","data","netNumber","captureTime","bander","captureCode","bandSize","bandNumber","sppCode","sppName","notes","brood_patch_OAMa","cloacal_protuberance_OAMa","body_molt_OAMa","fat_OAMa","juvenal_feather_OAMa","pp_wear_OAMa","skull_OAMa","molt_limit_OAMa","age_wrp","age_criteria","sex","sex_criteria","flight_feather_molt_OAMa","status","wing_chord","weight_grams","bill_estriation","age_criteria_2","tail_length","r2_length","molt_description","molt_limit_OAMa_2","sex_criteria_2","tail_shape","iris_color","crown_size","tarsus","nares_to_tip","iris_color_2","crown_color","molt_description_2","previr_number","total_length","previr_number_2","lower_mandibule_color","sex_criteria_3","total_length_2","age_criteria_3","r2_length_2","bill_width","old_bandnumber","color_band","band_code","crown_color_2","molt_limit_OAMa_3","bill_estriation_2","iris_color_3","tail_length_2","tick_sample","tick_sample_2","color_band_2","r1_length","wing_chord_2","weight_grams_2","nares_to_tip_2","tarsus_2","wing_chord_3","weight_grams_3","tail_length_3","nares_to_tip_3","tarsus_3","molt_description_3","crown_color_3","bill_interior_color","bill_interior_color_2","bill_interior_color_3","crown_size_2","crown_size_3","r2_length_3","upper_mandibule_color","upper_mandibule_color_2","lower_mandibule_color_2","upper_mandibule_color_3","lower_mandibule_color_3","tick_sample_3","bill_width_2","bill_width_3","white_on_s5","white_on_s5_2","white_on_s5_3","pox_presence","r5_length","p10-ppcov","exposed_culmen"
"4680","BOA3","2023-07-05","20","824","DSS","N","E","187618","COEFLA","Coereba flaveola","","0","0","0","0","0","1","5","N","MFCF","P","U","U","0","N","55","8.9","","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4681","BOA1","2023-07-11","4","080","PAT","N","E","187620","CONLIN","Conopophaga lineata","","0","0","0","1","0","1","5","N","DCB","P","NA","NA","0","N","72","22.5","","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4682","BOA1","2023-07-11","4","080","DSS","D","E","187621","DDDDDD","Anilhus destruidus","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4683","BOA1","2023-07-11","11","094","CAR","N","E","187622","HAPUNI","Haplospiza unicolor","","0","0","1","0","1","1","3","S","FPF","L","M","P","2","N","65","14.8","","P","","","P15J67F89CS16J79F","P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4684","BOA1","2023-07-11","6","104","PAT","N","E","187623","TANDES","Tangara desmaresti","","0","0","0","1","0","1","2","N","DCB","P","U","U","0","N","71","18.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4685","BOA1","2023-07-12","1","102","LWO","N","E","187624","EUPPEC","Euphonia pectoralis","","0","0","0","3","0","1","5","N","DCB","O","M","P","0","N","65","16.5","","P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4686","BOA1","2023-07-12","3","119","PAT","N","E","187625","HYLPOI","Hylophilus poicilotis","","0","0","0","0","0","1","2","N","MFCF","P","U","U","0","N","55","11.8","","O","","","","","","TRUNCADA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4687","BOA2","2023-07-18","20","065","FJC","R","F","84505","ARRSEM","Arremon semitorquatus","","0","0","0","0","0","2","5","N","DCB","P","F","P","0","N","71","23.4","","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4688","BOA2","2023-07-18","6","073","FJC","R","D","169812","XIPFUS","Xiphorhynchus fuscus","","0","0","0","1","0","1","5","N","MFCF","P","U","U","0","N","32","19.0","","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4689","BOA2","2023-07-18","11","065","LWO","N","D","169838","SITGRI","Sittasomus griseicapillus","","0","0","0","0","0","1","5","N","MFCF","P","U","U","0","N","77","13.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
